Country,Sector,Indicator,Year,Value
USA,Manufacturing,GDP,2017,2151.24
USA,Manufacturing,GDP,2018,4832.57
USA,Manufacturing,GDP,2019,4462.13
USA,Manufacturing,GDP,2020,3169.54
USA,Manufacturing,GDP,2021,4052.08
USA,Manufacturing,GDP,2022,4972.12
USA,Manufacturing,GDP,2023,5485.27
USA,Manufacturing,Inflation,2015,0.76
USA,Manufacturing,Inflation,2016,3.66
USA,Manufacturing,Inflation,2017,8.71
USA,manufacturing,Inflation,2018,13.45
USA,Manufacturing,Inflation,2019,3.47
USA,Manufacturing,Inflation,2020,6.05
USA,Manufacturing,Inflation,2021,2.24
USA,Manufacturing,Inflation,2022,2.05
USA,Manufacturing,Inflation,2023,10.56
USA,Manufacturing,Unemployment,2015,4432.23
USA,Manufacturing,Unemployment,2016,1465.45
USA,manufacturing,Unemployment,2017,1452.16
USA,Manufacturing,Unemployment,2018,6975.08
USA,Manufacturing,Unemployment,2019,3196.75
USA,Manufacturing,Unemployment,2020,7401.27
USA,Manufacturing,Unemployment,2021,650.47
USA,Manufacturing,Unemployment,2022,7768.63
USA,Manufacturing,Unemployment,2023,9743.89
USA,Manufacturing,Export Value,2015,9370.53
USA,Manufacturing,Export Value,2016,1797.85
USA,Manufacturing,Export Value,2017,4717.89
USA,Manufacturing,Export Value,2018,9487.11
USA,Manufacturing,Export Value,2019,4622.59
USA,Manufacturing,Export Value,2020,4921.15
USA,Manufacturing,Export Value,2021,6905.45
USA,Manufacturing,Export Value,2022,329.41
USA,Manufacturing,Export Value,2023,8434.77
USA,Manufacturing,Import Value,2015,4444.64
USA,Manufacturing,Import Value,2016,1024.48
USA,Manufacturing,Import Value,2017,819.45
USA,Manufacturing,Import Value,2018,9734.08
USA,Manufacturing,Import Value,2019,8387.56
USA,Manufacturing,Import Value,2020,7645.18
USA,Manufacturing,Import Value,2021,3169.07
USA,Manufacturing,Import Value,2022,7612.78
USA,Manufacturing,Import Value,2023,3415.1
USA,Services,GDP,2015,7293.03
USA,Services,GDP,2016,7133.53
USA,Services,GDP,2017,1814.01
USA,Services,GDP,2018,5818.74
USA,Services,GDP,2019,
USA,Services,GDP,2020,1457.82
USA,Services,GDP,2021,8945.0
USA,Services,GDP,2022,559.2
USA,Services,GDP,2023,5230.85
USA,Services,Inflation,2015,
USA,Services,Inflation,2016,14.2
USA,Services,Inflation,2017,0.73
USA,Services,Inflation,2018,9.74
USA,Services,Inflation,2019,
USA,Services,Inflation,2020,4.32
USA,Services,Inflation,2021,9.59
USA,Services,Inflation,2022,6.98
USA,Services,Inflation,2023,10.46
USA,Services,Unemployment,2015,3407.12
USA,Services,Unemployment,2016,2778.35
USA,Services,Unemployment,2017,8592.75
USA,Services,Unemployment,2018,
USA,Services,Unemployment,2019,6416.5
USA,Services,Unemployment,2020,4590.17
USA,Services,Unemployment,2021,1446.79
USA,Services,Unemployment,2022,1628.41
USA,Services,Unemployment,2023,8264.25
USA,Services,Export Value,2015,1133.69
USA,Services,Export Value,2016,5438.13
USA,Services,Export Value,2017,4327.83
USA,Services,Export Value,2018,
USA,Services,Export Value,2019,5378.42
USA,Services,Export Value,2020,6979.91
USA,Services,Export Value,2021,9079.16
USA,Services,Export Value,2022,318.48
USA,Services,Export Value,2023,6823.52
USA,Services,Import Value,2015,5933.75
USA,Services,Import Value,2016,8456.93
USA,Services,Import Value,2017,9391.3
USA,Services,Import Value,2018,4936.61
USA,Services,Import Value,2019,3404.2
USA,Services,Import Value,2020,6409.18
USA,Services,Import Value,2021,9051.17
USA,Services,Import Value,2022,6646.68
USA,Services,Import Value,2023,494.81
USA,Technology,GDP,2015,349.22
USA,Technology,GDP,2016,2126.94
USA,Technology,GDP,2017,4864.9
USA,Technology,GDP,2018,9047.43
USA,Technology,GDP,2019,6853.08
USA,Technology,GDP,2020,9010.73
USA,Technology,GDP,2021,
USA,Technology,GDP,2022,9720.72
USA,Technology,GDP,2023,7296.37
USA,Technology,Inflation,2015,4.02
USA,Technology,Inflation,2016,8.66
USA,Technology,Inflation,2017,12.01
USA,Technology,Inflation,2018,0.96
USA,Technology,Inflation,2019,6.06
USA,Technology,Inflation,2020,
USA,Technology,Inflation,2021,11.42
USA,Technology,Inflation,2022,0.98
USA,Technology,Inflation,2023,12.83
USA,Technology,Unemployment,2015,3906.82
USA,Technology,Unemployment,2016,6834.38
USA,Technology,Unemployment,2017,4139.78
USA,Technology,Unemployment,2018,8461.69
USA,Technology,Unemployment,2019,8285.61
USA,Technology,Unemployment,2020,6611.3
USA,Technology,Unemployment,2021,8783.13
USA,Technology,Unemployment,2022,5343.92
USA,Technology,Unemployment,2023,7711.51
USA,Technology,Export Value,2015,3672.24
USA,Technology,Export Value,2016,1931.87
USA,Technology,Export Value,2017,6426.17
USA,Technology,Export Value,2018,7077.7
USA,Technology,Export Value,2019,7337.22
USA,Technology,Export Value,2020,2501.23
USA,Technology,Export Value,2021,5879.05
USA,Technology,Export Value,2022,9033.54
USA,Technology,Export Value,2023,4155.48
USA,Technology,Import Value,2015,385.5
USA,Technology,Import Value,2016,6635.17
USA,Technology,Import Value,2017,5326.9
USA,Technology,Import Value,2018,2304.18
USA,Technology,Import Value,2019,8193.11
USA,Technology,Import Value,2020,7802.94
USA,Technology,Import Value,2021,9929.0
USA,Technology,Import Value,2022,4093.31
USA,Technology,Import Value,2023,9248.57
USA,Energy,GDP,2015,2112.87
USA,Energy,GDP,2016,5731.55
USA,Energy,GDP,2017,3289.28
USA,Energy,GDP,2018,1782.81
USA,Energy,GDP,2019,6854.77
USA,Energy,GDP,2020,2343.44
USA,Energy,GDP,2021,4249.58
USA,Energy,GDP,2022,9781.4
USA,Energy,GDP,2023,2130.03
USA,Energy,Inflation,2015,10.21
USA,Energy,Inflation,2016,8.18
USA,Energy,Inflation,2017,11.69
USA,Energy,Inflation,2018,7.38
USA,Energy,Inflation,2019,8.21
USA,Energy,Inflation,2020,13.77
USA,Energy,Inflation,2021,6.41
USA,Energy,Inflation,2022,1.9
USA,Energy,Inflation,2023,12.62
USA,energy,Unemployment,2015,9785.88
USA,Energy,Unemployment,2016,8593.22
USA,Energy,Unemployment,2017,
USA,Energy,Unemployment,2018,7040.83
USA,Energy,Unemployment,2019,282.82
USA,Energy,Unemployment,2020,3742.22
USA,Energy,Unemployment,2021,
USA,Energy,Unemployment,2022,
USA,Energy,Unemployment,2023,623.68
USA,Energy,Export Value,2015,
USA,Energy,Export Value,2016,4510.27
USA,Energy,Export Value,2017,5157.05
USA,Energy,Export Value,2018,8414.11
USA,Energy,Export Value,2019,7140.39
USA,Energy,Export Value,2020,1977.14
USA,Energy,Export Value,2021,8151.29
USA,Energy,Export Value,2022,3303.34
USA,Energy,Export Value,2023,1612.36
USA,Energy,Import Value,2015,1640.46
USA,Energy,Import Value,2016,2142.21
USA,Energy,Import Value,2017,5228.71
USA,Energy,Import Value,2018,7880.68
USA,Energy,Import Value,2019,
USA,Energy,Import Value,2020,8073.46
USA,Energy,Import Value,2021,5705.15
USA,Energy,Import Value,2022,7965.91
USA,Energy,Import Value,2023,3125.64
Canada,Agriculture,GDP,2015,3107.47
Canada,agriculture,GDP,2016,9229.99
Canada,Agriculture,GDP,2017,3570.31
Canada,Agriculture,GDP,2018,2112.29
Canada,Agriculture,GDP,2019,8777.15
Canada,Agriculture,GDP,2020,4957.48
Canada,agriculture,GDP,2021,8159.41
Canada,Agriculture,GDP,2022,5663.48
Canada,Agriculture,GDP,2023,6814.28
Canada,Agriculture,Inflation,2015,13.12
Canada,Agriculture,Inflation,2016,5.35
Canada,Agriculture,Inflation,2017,1.78
Canada,Agriculture,Inflation,2018,12.77
Canada,Agriculture,Inflation,2019,4.81
Canada,Agriculture,Inflation,2020,3.8
Canada,Agriculture,Inflation,2021,11.91
Canada,Agriculture,Inflation,2022,12.57
Canada,Agriculture,Inflation ,2023,7.49
Canada,Agriculture,Unemployment,2015,8276.72
Canada,Agriculture,Unemployment,2016,1895.86
Canada,Agriculture,Unemployment,2017,9689.79
Canada,Agriculture,Unemployment,2018,7553.29
Canada,Agriculture,Unemployment,2019,9843.4
Canada,Agriculture,Unemployment,2020,4480.37
Canada,Agriculture,Unemployment,2021,8588.21
Canada,Agriculture,Unemployment,2022,7420.22
Canada,Agriculture,Unemployment,2023,5594.81
Canada,Agriculture,Export Value,2015,3947.78
Canada,Agriculture,Export Value,2016,1586.5
Canada,Agriculture,Export Value,2017,4020.15
Canada,Agriculture,Export Value,2018,6228.31
Canada,Agriculture,Export Value,2019,3812.31
Canada,Agriculture,Export Value,2020,8203.4
Canada,Agriculture,Export Value,2021,6848.09
Canada,Agriculture,Export Value,2022,1028.31
Canada,Agriculture,Export Value,2023,2070.8
Canada,Agriculture,Import Value,2015,3173.02
Canada,Agriculture,Import Value,2016,3448.84
Canada,Agriculture,Import Value,2017,8023.0
Canada,Agriculture,Import Value,2018,841.4
Canada,Agriculture,Import Value,2019,3608.7
Canada,Agriculture,Import Value,2020,6767.18
Canada,Agriculture,Import Value,2021,7729.52
Canada,Agriculture,Import Value,2022,5603.78
Canada,Agriculture,Import Value,2023,804.03
Canada,Manufacturing,GDP,2015,5917.36
Canada,Manufacturing,GDP,2016,9871.73
Canada,Manufacturing,GDP,2017,4095.32
Canada,Manufacturing,GDP,2018,
Canada,Manufacturing,GDP,2019,579.64
Canada,Manufacturing,GDP,2020,5448.51
Canada,Manufacturing,GDP,2021,451.63
Canada,Manufacturing,GDP,2022,2810.43
Canada,Manufacturing,GDP,2023,5571.98
Canada,Manufacturing,Inflation,2015,12.99
Canada,Manufacturing,Inflation,2016,
Canada,Manufacturing,Inflation,2017,14.52
Canada,Manufacturing,Inflation,2018,14.88
Canada,Manufacturing,Inflation,2019,4.43
Canada,Manufacturing,Inflation,2020,9.15
Canada,Manufacturing,Inflation,2021,8.64
Canada,Manufacturing,Inflation,2022,12.54
Canada,Manufacturing,Inflation,2023,8.96
Canada,Manufacturing,Unemployment,2015,9665.08
Canada,Manufacturing,Unemployment,2016,9279.84
Canada,Manufacturing,Unemployment,2017,5572.03
Canada,Manufacturing,Unemployment,2018,3855.62
Canada,Manufacturing,Unemployment,2019,1423.13
Canada,Manufacturing,Unemployment,2020,9125.22
Canada,Manufacturing,Unemployment,2021,3266.28
Canada,Manufacturing,Unemployment,2022,3577.55
Canada,Manufacturing,Unemployment,2023,960.42
Canada,Manufacturing,Export Value,2015,9036.72
Canada,Manufacturing,Export Value,2016,9860.62
Canada,Manufacturing,Export Value,2017,8848.0
Canada,Manufacturing,Export Value,2018,350.36
Canada,Manufacturing,Export Value,2019,968.07
Canada,Manufacturing,Export Value,2020,8076.27
Canada,Manufacturing,Export Value,2021,7115.12
Canada,Manufacturing,Export Value,2022,702.33
Canada,Manufacturing,Export Value,2023,626.97
Canada,Manufacturing,Import Value,2015,8512.09
Canada,Manufacturing,Import Value,2016,9230.89
Canada,Manufacturing,Import Value,2017,8921.99
Canada,Manufacturing,Import Value,2018,1060.6
Canada,Manufacturing,Import Value,2019,
Canada,Manufacturing,Import Value,2020,5589.79
Canada,Manufacturing,Import Value,2021,6663.36
Canada,Manufacturing,Import Value,2022,5799.07
Canada,Manufacturing,Import Value,2023,5386.8
Canada,Services,GDP,2015,5232.98
Canada,Services,GDP,2016,8349.13
Canada,Services,GDP,2017,
Canada,Services,GDP,2018,1231.09
Canada,Services,GDP,2019,
Canada,Services,GDP,2020,3462.57
Canada,Services,GDP,2021,5155.43
Canada,Services,GDP,2022,803.43
Canada,Services,GDP,2023,9541.84
Canada,Services,Inflation ,2015,7.04
Canada,Services,Inflation,2016,10.32
Canada,Services,Inflation,2017,7.85
Canada,Services,Inflation,2018,15.0
Canada,Services,Inflation,2019,5.7
Canada,Services,Inflation,2020,0.55
Canada,Services,Inflation,2021,13.32
Canada,Services,Inflation,2022,1.53
Canada,Services,Inflation,2023,13.76
Canada,Services,Unemployment,2015,3016.24
Canada,services,Unemployment,2016,2429.37
Canada,Services,Unemployment,2017,4593.29
Canada,services,Unemployment,2018,2254.64
Canada,Services,Unemployment,2019,6028.11
Canada,Services,Unemployment,2020,7361.47
Canada,Services,Unemployment,2021,5629.24
Canada,Services,Unemployment,2022,1962.58
Canada,Services,Unemployment,2023,5845.07
Canada,Services,Export Value,2015,9747.22
Canada,Services,Export Value,2016,8904.15
Canada,Services,Export Value,2017,6755.99
Canada,Services,Export Value,2018,2045.8
Canada,Services,Export Value,2019,
Canada,Services,Export Value,2020,6263.44
Canada,Services,Export Value,2021,3874.6
Canada,Services,Export Value,2022,6922.58
Canada,Services,Export Value,2023,8615.95
Canada,Services,Import Value,2015,2563.57
Canada,Services,Import Value,2016,7525.92
Canada,Services,Import Value,2017,1634.22
Canada,Services,Import Value,2018,7225.4
Canada,Services,Import Value,2019,4834.06
Canada,Services,Import Value,2020,2762.59
Canada,Services,Import Value,2021,4297.91
Canada,Services,Import Value,2022,9434.63
Canada,Services,Import Value,2023,6326.23
Canada,Technology,GDP,2015,9858.25
Canada,Technology,GDP,2016,7946.2
Canada,Technology,GDP,2017,7852.23
Canada,Technology,GDP,2018,4860.46
Canada,Technology,GDP,2019,2335.36
Canada,Technology,GDP,2020,4461.15
Canada,Technology,GDP,2021,5160.59
Canada,Technology,GDP,2022,3305.64
Canada,Technology,GDP,2023,4300.42
Canada,Technology,Inflation,2015,5.27
Canada,Technology,Inflation,2016,1.4
Canada,Technology,Inflation,2017,9.89
Canada,Technology,Inflation,2018,0.56
Canada,technology,Inflation,2019,6.67
Canada,Technology,Inflation,2020,8.63
Canada,Technology,Inflation,2021,
Canada,Technology,Inflation,2022,0.57
Canada,Technology,Inflation,2023,1.18
Canada,Technology,Unemployment,2015,7058.57
Canada,Technology,Unemployment,2016,3257.4
Canada,Technology,Unemployment,2017,3997.55
Canada,Technology,Unemployment,2018,3468.97
Canada,Technology,Unemployment,2019,1893.57
Canada,Technology,Unemployment,2020,8779.87
Canada,Technology,Unemployment,2021,8965.88
Canada,Technology,Unemployment,2022,840.03
Canada,Technology,Unemployment,2023,
Canada,Technology,Export Value,2015,6313.12
Canada,Technology,Export Value,2016,5725.61
Canada,Technology,Export Value,2017,134.75
Canada,Technology,Export Value,2018,9242.76
Canada,Technology,Export Value,2019,6360.89
Canada,Technology,Export Value,2020,
Canada,Technology,Export Value,2021,884.47
Canada,Technology,Export Value,2022,2987.26
Canada,Technology,Export Value,2023,4174.94
Canada,Technology,Import Value,2015,4076.35
Canada,Technology,Import Value,2016,8983.57
Canada,Technology,Import Value,2017,1768.21
Canada,Technology,Import Value,2018,3591.42
Canada,Technology,Import Value,2019,4225.63
Canada,Technology,Import Value,2020,4061.31
Canada,Technology,Import Value,2021,4219.14
Canada,Technology,Import Value,2022,1254.36
Canada,Technology,Import Value,2023,4119.77
Canada,Energy,GDP,2015,5311.78
Canada,Energy,GDP,2016,4728.22
Canada,Energy,GDP,2017,4873.16
Canada,Energy,GDP,2018,2719.7
Canada,Energy,GDP,2019,7175.87
Canada,Energy,GDP,2020,3359.07
Canada,Energy,GDP,2021,2791.22
Canada,Energy,GDP,2022,7420.1
Canada,Energy,GDP,2023,5166.28
Canada,Energy,Inflation,2015,5.94
Canada,Energy,Inflation,2016,5.72
Canada,Energy,Inflation,2017,11.51
Canada,Energy,Inflation,2018,11.34
Canada,Energy,Inflation,2019,13.38
Canada,Energy,Inflation,2020,7.77
Canada,Energy,Inflation,2021,4.92
Canada,Energy,Inflation,2022,7.46
Canada,Energy,Inflation,2023,6.71
Canada,Energy,Unemployment,2015,696.58
Canada,Energy,Unemployment,2016,3163.21
Canada,Energy,Unemployment,2017,578.21
Canada,Energy,Unemployment,2018,3228.56
Canada,Energy,Unemployment ,2019,4287.29
Canada,Energy,Unemployment,2020,8801.65
Canada,Energy,Unemployment,2021,7602.54
Canada,Energy,Unemployment,2022,3828.19
Canada,Energy,Unemployment,2023,3923.53
Canada,Energy,Export Value,2015,2349.57
Canada,Energy,Export Value,2016,6959.79
Canada,Energy,Export Value,2017,488.78
Canada,Energy,Export Value,2018,8103.58
Canada,Energy,Export Value,2019,3116.37
Canada,Energy,Export Value,2020,7795.04
Canada,Energy,Export Value,2021,9171.94
Canada,Energy,Export Value,2022,2779.39
Canada,Energy,Export Value,2023,8324.54
Canada,Energy,Import Value,2015,9446.32
Canada,Energy,Import Value,2016,
Canada,Energy,Import Value,2017,3344.88
Canada,Energy,Import Value,2018,5304.89
Canada,Energy,Import Value,2019,
Canada,Energy,Import Value,2020,8090.06
Canada,Energy,Import Value ,2021,
Canada,Energy,Import Value,2022,3293.27
Canada,Energy,Import Value,2023,9013.21
Germany,Agriculture,GDP,2015,8507.61
Germany,Agriculture,GDP,2016,4291.04
Germany,Agriculture,GDP,2017,5416.04
Germany,agriculture,GDP,2018,8016.71
Germany,Agriculture,GDP,2019,6460.04
Germany,Agriculture,GDP,2020,765.79
Germany,Agriculture,GDP,2021,6281.76
Germany,Agriculture,GDP,2022,3766.18
Germany,Agriculture,GDP,2023,4403.14
Germany,Agriculture,Inflation,2015,6.08
Germany,Agriculture,Inflation,2016,14.81
Germany,Agriculture,Inflation,2017,0.53
Germany,Agriculture,Inflation,2018,
Germany,Agriculture,Inflation,2019,13.26
Germany,Agriculture,Inflation,2020,13.86
Germany,Agriculture,Inflation,2021,14.42
Germany,Agriculture,Inflation,2022,13.32
Germany,Agriculture,Inflation,2023,4.3
Germany,Agriculture,Unemployment,2015,3139.94
Germany,Agriculture,Unemployment,2016,1111.78
Germany,Agriculture,Unemployment,2017,5727.24
Germany,Agriculture,Unemployment,2018,3826.0
Germany,Agriculture,Unemployment,2019,
Germany,Agriculture,Unemployment,2020,5216.49
Germany,Agriculture,Unemployment,2021,4129.89
Germany,Agriculture,Unemployment,2022,8149.52
Germany,Agriculture,Unemployment,2023,5801.33
Germany,Agriculture,Export Value,2015,6142.85
Germany,Agriculture,Export Value,2016,9965.74
Germany,Agriculture,Export Value,2017,4281.58
Germany,Agriculture,Export Value,2018,5900.82
Germany,Agriculture,Export Value,2019,1247.47
Germany,Agriculture,Export Value,2020,8728.93
Germany,Agriculture,Export Value,2021,1608.63
Germany,Agriculture,Export Value,2022,6049.1
Germany,Agriculture,Export Value,2023,8810.76
Germany,Agriculture,Import Value,2015,9998.38
Germany,Agriculture,Import Value,2016,
Germany,Agriculture,Import Value,2017,2354.32
Germany,Agriculture,Import Value,2018,4488.99
Germany,Agriculture,Import Value,2019,6562.96
Germany,Agriculture,Import Value,2020,8461.41
Germany,Agriculture,Import Value,2021,613.05
Germany,Agriculture,Import Value,2022,5823.2
Germany,Agriculture,Import Value,2023,5259.43
Germany,Manufacturing,GDP,2015,6929.74
Germany,Manufacturing,GDP,2016,5571.9
Germany,Manufacturing,GDP,2017,9000.58
Germany,manufacturing,GDP,2018,4349.91
Germany,Manufacturing,GDP,2019,5077.55
Germany,Manufacturing,GDP,2020,9359.12
Germany,Manufacturing,GDP,2021,9568.74
Germany,Manufacturing,GDP,2022,3694.29
Germany,Manufacturing,GDP ,2023,
Germany,Manufacturing,Inflation,2015,11.42
Germany,manufacturing,Inflation,2016,7.65
Germany,Manufacturing,Inflation,2017,
Germany,Manufacturing,Inflation,2018,8.92
Germany,Manufacturing,Inflation,2019,2.31
Germany,Manufacturing,Inflation,2020,9.04
Germany,Manufacturing,Inflation,2021,2.03
Germany,Manufacturing,Inflation,2022,6.13
Germany,Manufacturing,Inflation,2023,12.7
Germany,Manufacturing,Unemployment,2015,5797.99
Germany,Manufacturing,Unemployment,2016,8752.23
Germany,Manufacturing,Unemployment,2017,4849.31
Germany,Manufacturing,Unemployment,2018,
Germany,Manufacturing,Unemployment,2019,2683.47
Germany,Manufacturing,Unemployment,2020,3456.13
Germany,Manufacturing,Unemployment,2021,8441.86
Germany,Manufacturing,Unemployment,2022,6562.62
Germany,Manufacturing,Unemployment,2023,5383.84
Germany,Manufacturing,Export Value,2015,6183.76
Germany,Manufacturing,Export Value,2016,172.29
Germany,Manufacturing,Export Value,2017,7199.91
Germany,Manufacturing,Export Value,2018,2434.39
Germany,Manufacturing,Export Value,2019,6813.9
Germany,Manufacturing,Export Value,2020,7632.93
Germany,Manufacturing,Export Value,2021,5369.46
Germany,Manufacturing,Export Value,2022,7755.94
Germany,Manufacturing,Export Value,2023,8122.62
Germany,Manufacturing,Import Value,2015,2625.22
Germany,Manufacturing,Import Value,2016,9293.06
Germany,Manufacturing,Import Value,2017,6634.54
Germany,Manufacturing,Import Value,2018,8395.16
Germany,Manufacturing,Import Value,2019,2435.13
Germany,Manufacturing,Import Value,2020,2867.83
Germany,Manufacturing,Import Value,2021,5507.5
Germany,Manufacturing,Import Value,2022,4068.85
Germany,Manufacturing,Import Value,2023,4882.15
Germany,Services,GDP,2015,3800.3
Germany,Services,GDP,2016,1712.3
Germany,Services,GDP,2017,
Germany,Services,GDP,2018,2311.09
Germany,Services,GDP,2019,
Germany,Services,GDP,2020,3516.68
Germany,Services,GDP,2021,7923.15
Germany,Services,GDP,2022,7912.74
Germany,Services,GDP,2023,3095.29
Germany,Services,Inflation,2015,13.2
Germany,Services,Inflation,2016,2.33
Germany,Services,Inflation,2017,13.87
Germany,Services,Inflation,2018,1.45
Germany,Services,Inflation,2019,14.47
Germany,Services,Inflation,2020,3.63
Germany,Services,Inflation,2021,8.2
Germany,Services,Inflation,2022,2.71
Germany,Services,Inflation,2023,12.99
Germany,Services,Unemployment,2015,8707.47
Germany,Services,Unemployment,2016,5294.31
Germany,Services,Unemployment,2017,6368.35
Germany,Services,Unemployment,2018,1585.62
Germany,Services,Unemployment,2019,
Germany,Services,Unemployment,2020,5677.91
Germany,Services,Unemployment,2021,3361.5
Germany,Services,Unemployment,2022,5318.64
Germany,Services,Unemployment,2023,9448.63
Germany,Services,Export Value,2015,1899.3
Germany,Services,Export Value,2016,157.41
Germany,Services,Export Value,2017,3035.33
Germany,Services,Export Value,2018,7090.45
Germany,Services,Export Value,2019,399.34
Germany,Services,Export Value,2020,7137.88
Germany,Services,Export Value,2021,3044.87
Germany,Services,Export Value,2022,5072.59
Germany,Services,Export Value,2023,4343.41
Germany,Services,Import Value,2015,2226.22
Germany,Services,Import Value,2016,1479.19
Germany,Services,Import Value,2017,
Germany,Services,Import Value ,2018,467.91
Germany,Services,Import Value,2019,3099.2
Germany,Services,Import Value,2020,909.26
Germany,Services,Import Value,2021,6505.24
Germany,Services,Import Value,2022,1923.59
Germany,Services,Import Value,2023,
Germany,Technology,GDP,2015,7634.02
Germany,Technology,GDP,2016,5465.91
Germany,Technology,GDP,2017,7808.09
Germany,Technology,GDP,2018,1083.75
Germany,Technology,GDP,2019,4494.69
Germany,Technology,GDP,2020,5260.85
Germany,Technology,GDP,2021,9871.83
Germany,Technology,GDP,2022,5945.5
Germany,Technology,GDP,2023,
Germany,technology,Inflation,2015,11.02
Germany,Technology,Inflation,2016,6.04
Germany,Technology,Inflation,2017,10.51
Germany,Technology,Inflation,2018,3.42
Germany,Technology,Inflation ,2019,8.4
Germany,Technology,Inflation,2020,4.36
Germany,Technology,Inflation ,2021,12.21
Germany,Technology,Inflation,2022,10.07
Germany,Technology,Inflation,2023,9.14
Germany,Technology,Unemployment,2015,8484.07
Germany,Technology,Unemployment,2016,7971.39
Germany,Technology,Unemployment,2017,7972.62
Germany,Technology,Unemployment,2018,1918.53
Germany,Technology,Unemployment,2019,1233.16
Germany,Technology,Unemployment,2020,618.42
Germany,Technology,Unemployment ,2021,1518.77
Germany,Technology,Unemployment,2022,2866.12
Germany,Technology,Unemployment,2023,8329.01
Germany,Technology,Export Value,2015,
Germany,Technology,Export Value,2016,249.22
Germany,Technology,Export Value,2017,5623.02
Germany,Technology,Export Value,2018,6989.56
Germany,technology,Export Value,2019,9508.91
Germany,Technology,Export Value,2020,9342.57
Germany,Technology,Export Value,2021,8756.04
Germany,Technology,Export Value,2022,6013.57
Germany,Technology,Export Value,2023,4293.76
Germany,Technology,Import Value,2015,1248.69
Germany,Technology,Import Value,2016,7003.45
Germany,Technology,Import Value,2017,1345.31
Germany,Technology,Import Value,2018,4176.18
Germany,Technology,Import Value,2019,6109.11
Germany,Technology,Import Value,2020,6396.65
Germany,Technology,Import Value,2021,3190.51
Germany,Technology,Import Value,2022,110.67
Germany,Technology,Import Value,2023,7691.3
Germany,Energy,GDP,2015,5337.34
Germany,Energy,GDP,2016,1698.5
Germany,Energy,GDP,2017,6542.6
Germany,Energy,GDP,2018,9834.87
Germany,Energy,GDP,2019,
Germany,Energy,GDP,2020,7961.11
Germany,Energy,GDP,2021,7110.39
Germany,Energy,GDP,2022,6047.05
Germany,Energy,GDP,2023,
Germany,Energy,Inflation,2015,5.59
Germany,Energy,Inflation,2016,13.91
Germany,Energy,Inflation,2017,10.29
Germany,Energy,Inflation,2018,9.38
Germany,Energy,Inflation,2019,0.79
Germany,Energy,Inflation,2020,
Germany,energy,Inflation,2021,10.26
Germany,Energy,Inflation,2022,5.99
Germany,Energy,Inflation,2023,13.23
Germany,Energy,Unemployment,2015,1256.85
Germany,Energy,Unemployment,2016,1834.66
Germany,Energy,Unemployment,2017,4218.82
Germany,Energy,Unemployment,2018,
Germany,Energy,Unemployment,2019,8007.77
Germany,Energy,Unemployment,2020,5576.86
Germany,Energy,Unemployment,2021,4962.82
Germany,Energy,Unemployment,2022,867.74
Germany,Energy,Unemployment,2023,2794.22
Germany,Energy,Export Value,2015,6991.81
Germany,Energy,Export Value,2016,4786.61
Germany,Energy,Export Value,2017,614.13
Germany,Energy,Export Value,2018,8139.56
Germany,Energy,Export Value,2019,1137.81
Germany,Energy,Export Value,2020,1356.83
Germany,Energy,Export Value,2021,1846.88
Germany,Energy,Export Value,2022,3656.8
Germany,Energy,Export Value,2023,
